Document Title,Abstract,Year,PDF Link,label
Susceptibility breakpoints for amphotericin B and Aspergillus species in an in vitro pharmacokinetic-pharmacodynamic model simulating free-drug concentrations in human serum.,"Although conventional amphotericin B was for many years the drug of choice and remains an important agent against invasive aspergillosis, reliable susceptibility breakpoints are lacking. Three clinical Aspergillus isolates (Aspergillus fumigatus, Aspergillus flavus, and Aspergillus terreus) were tested in an in vitro pharmacokinetic-pharmacodynamic model simulating the biphasic 24-h time-concentration profile of free amphotericin B concentrations in human serum with free peak concentrations (fCmax) of 0.1, 0.3, 0.6, 1.2, and 2.4 mg/liter administered once daily. Drug concentrations were measured with a bioassay, and fungal growth was monitored for 72 h with galactomannan production. The fCmax/MIC corresponding to half-maximal activity (P50) was determined for each species, and the percentage of target attainment was calculated for different MICs for the standard (1 mg/kg of body weight) and a lower (0.6-mg/kg) dose of amphotericin B with Monte Carlo simulation analysis. The fCmax/MICs (95% confidence intervals) corresponding to P50 were 0.145 (0.133 to 0.158), 0.371 (0.283 to 0.486), and 0.41 (0.292 to 0.522) for A. fumigatus, A. flavus, and A. terreus, respectively. The median percentages of P50 attainment were ≥88%, 47%, and 0% for A. fumigatus isolates with MICs of ≤0.5, 1, and ≥2 mg/liter, respectively, and ≥81%, 24%, and 0% and ≥75%, 15%, and 0% for A. flavus and A. terreus isolates with MICs of ≤0.25, 0.5, and ≥1 mg/liter, respectively. The lower dose of 0.6 mg/kg would retain efficacy for A. fumigatus, A. flavus, and A. terreus isolates with MICs of ≤0.25, ≤0.125, and ≤0.125 mg/liter, respectively. The susceptibility, intermediate susceptibility, and resistance breakpoints of ≤0.5, 1, and ≥2 mg/liter for A. fumigatus and ≤0.25, 0.5, and ≥1 mg/liter for A. flavus and A. terreus were determined for conventional amphotericin B with a pharmacokinetic-pharmacodynamic model simulating free-drug serum concentrations. ",2014,24514094,no
The prevalence of antifungal agents administration in patients undergoing allogeneic hematopoietic stem cell transplantation: a retrospective study.,"Invasive fungal infections (IFIs) are chief infectious complications in patients undergoing hematopoietic stem cell transplantation (HSCT). However, the diagnosis of fungal infections is difficult, and often empiric treatment initiates. Since there is no data available on the prevalence of antifungal drugs administration in allogeneic HSCT recipients in Iran, we decided to conduct this study.This study was a retrospective review of records of patients who received allogeneic HSCT in the Hematology-Oncology, Bone Marrow Transplantation center at Shariati Hospital in Tehran, between August 2009 and August 2010.Sixty (73.1%) patients consist of 41 men (68.3%) with mean age of 26.3 (± 1.2) years received allogeneic HSCT. Patients received prophylaxis with fulconazole however in 28 patients (46.7%) it was switched to low dose amphotericin B. Fifteen patients (25%) received treatment with antifungal agents. Amphotericin B was the empiric agent administered. In 3 patients treatment was switched to voriconazole. Neither positive culture nor direct microscopic evidence was available from the obtained specimen. Only in one patient the result of serum galactomannan assay was positive. There were no significant differences in neutropenia duration (P value: 0.54), length of hospital stay (P value: 0.27) and number of patients developed graft versus host disease (P value: 0.07) between patients received antifungal agents with those who did not receive treatment.In this study HSCT recipients received antifungal agents for prophylaxis. Twenty five percent of patients received treatment with antifungal agents empirically. Improvement in diagnosis of these infections can be helpful and lead to targeted therapy. We suggest larger prospective trials for better assessment of antifungal agent administration.",2014,24505528,no
Serum and urine Blastomyces antigen concentrations as markers of clinical remission in dogs treated for systemic blastomycosis.,"Serum and urine Blastomyces antigen concentrations can be used to diagnose blastomycosis in dogs.Blastomyces antigen concentrations correlate with clinical remission in dogs during antifungal treatment, and detect disease relapse after treatment discontinuation.21 dogs with newly diagnosed blastomycosis monitored until clinical remission (Treatment Phase), and 27 dogs monitored over 1 year from the time of antifungal discontinuation or until clinical relapse (After Treatment Phase).Prospective study. Dogs were monitored monthly during treatment and every 3 months after treatment discontinuation, with a complete history, physical exam, chest radiographs, and ocular exam. Urine and serum Blastomyces antigen concentrations were measured at each visit using a quantitative enzyme immunoassay.At enrollment in the Treatment Phase, Blastomyces antigen was positive in all 21 urine samples (100% sensitivity 95% CI 85-100%), and in 18 of 20 serum samples (90% sensitivityUrine Blastomyces antigen testing has high sensitivity for active disease at the time of diagnosis and during treatment, and moderate sensitivity but high specificity for clinical relapse. Urine testing should be useful at the time of diagnosis, when treatment discontinuation is being considered, and anytime there is poor clinical response or suspicion of relapse.",2015,24495193,no
Directed modification of the Aspergillus usamii β-mannanase to improve its substrate affinity by in silico design and site-directed mutagenesis.,"β-Mannanases (EC 3.2.1.78) can catalyze the cleavage of internal β-1,4-D-mannosidic linkages of mannan backbones, and they have found applications in food, feed, pulp and paper, oil, pharmaceutical and textile industries. Suitable amino acid substitution can promote access to the substrate-binding groove and maintain the substrate therein, which probably improves the substrate affinity and, thus, increases catalytic efficiency of the enzyme. In this study, to improve the substrate affinity of AuMan5A, a glycoside hydrolase (GH) family 5 β-mannanase from Aspergillus usamii, had its directed modification conducted by in silico design, and followed by site-directed mutagenesis. The mutant genes, Auman5A (Y111F) and Auman5A (Y115F), were constructed by megaprimer PCR, respectively. Then, Auman5A and its mutant genes were expressed in Pichia pastoris GS115 successfully. The specific activities of purified recombinant β-mannanases (reAuMan5A, reAuMan5A(Y111F) and reAuMan5A(Y115F)) towards locust bean gum were 152.5, 199.6 and 218.9 U mg(-1), respectively. The two mutants were found to be similar to reAuMan5A regarding temperature and pH characteristics. Nevertheless, the K m values of reAuMan5A(Y111F) and reAuMan5A(Y115F), towards guar gum, decreased to 2.95 ± 0.22 and 2.39 ± 0.33 mg ml(-1) from 4.49 ± 0.07 mg ml(-1) of reAuMan5A, which would make reAuMan5A(Y111F) and reAuMan5A(Y115F) promising candidates for industrial processes. Structural analysis showed that the two mutants increased their affinity by decreasing the steric conflicts with those more complicated substrates. The results suggested that subtle conformational modification in the substrate-binding groove could substantially alter the substrate affinity of AuMan5A. This study laid a solid foundation for the directed modification of substrate affinities of β-mannanases and other enzymes. ",2014,24493565,no
Earlier diagnosis of invasive fusariosis with Aspergillus serum galactomannan testing.,"Cross-reactivity of Fusarium species with serum galactomannan antigen (GMI) test has been observed. We sought to evaluate if GMI could help to early diagnose invasive fusariosis and to monitor treatment response. We reviewed the records of all patients with invasive fusariosis between 2008 and 2012 in three Brazilian hospitals. We selected patients who had at least 1 GMI test within 2 days before or after the date of the first clinical manifestation of fusariosis, and analyzed the temporal relationship between the first positive GMI test and the date of the diagnosis of invasive fusariosis, and the kinetics of GMI in relation to patients' response to treatment. We also selected 18 controls to determine the sensitivity and specificity of the test. Among 18 patients, 15 (83%) had at least one positive GMI (median 4, range 1-15). The sensitivity and specificity of was 83% and 67%, respectively. GMI was positive before the diagnosis of invasive fusariosis in 11 of the 15 cases (73%), at a median of 10 days (range 3-39), and after the diagnosis in 4 cases. GMI became negative in 8 of the 15 patients 3 of these 8 patients (37.5%) were alive 90 days after the diagnosis of fusariosis compared with 2 of 7 (29%) who did not normalize GMI (p = 1.0). GMI is frequently positive in invasive fusariosis, and becomes positive before diagnosis in most patients. These findings may have important implications for the choice of antifungal therapy in settings with high prevalence of invasive fusariosis.",2014,24489964,no
[Side effects and contraindications for biological therapy in inflammatory bowel disease].,"TNF-alpha blockers side effects vary according to the frequency and severity and mainly include immunogenicity (ability to cause immune reactions), infections, malignancies, heart failure, demyelinating disease and others. Treatment with TNF-alpha blockers may result in the formation of autoantibodies and, rarely, in the development of a lupus-like syndrome. They should not be administered to patients who have experienced a severe hypersensitivity reaction. Urticaria, dyspnea and hypotension can occur after TNF-alpha inhibitors administration. Serious infusion reactions including anaphylaxis are infrequent. Patients treated with TNF-alpha blockers are at increased risk for developing serious infections (active tuberculosis, including reactivation of latent TB, invasive fungal infections, bacterial, viral, and also infections due to opportunistic pathogens). Therefore, all patients should be screened for systemic or localized infection before starting therapy. Patients with a positive screening for TB should be treated with isoniazid for at least 4 weeks, before starting TNF-alpha blocker therapy. TNF-alpha blockers may be associated with non-Hodgkin lymphoma or other cancers especially if combined with other immunosuppressive drugs. Monotherapy showed no such effect in patients, who cited a personal history of malignant disease, therefore caution is needed. TNF-alpha blockers are contraindicated in patients with moderate to severe congestive heart failure (NYHA Class III/IV). TNF-alpha blockers have been associated with reactivation of hepatitis B virus (HBV) infection in patients who are chronic carriers. Patients should be tested for HBV infection before treatment. Patients who test positive should be monitored closely for reactivation of HBV infection during and following termination of therapy. Patients with negative serology should be vaccinated. Severe hepatic reactions, including acute liver failure, jaundice, hepatitis, and cholestasis have been reported. Patients with symptoms or signs of liver dysfunction should be evaluated for evidence of liver injury. Cases of leucopenia, neutropenia, thrombocytopenia, and pancytopenia have been reported. TNF-alpha blockers have been associated in rare cases with CNS manifestation of systemic vasculitis, new onset or exacerbation of CNS and peripheral demyelinating disorders, including multiple sclerosis and Guillain-Barré syndrome.",2015,24471296,no
Serum galactomannan antigen test for the diagnosis of chronic pulmonary aspergillosis.,"A serum galactomannan (GM) antigen test has been widely used to diagnose invasive pulmonary aspergillosis. However, there are limited data on the use of the serum GM antigen test for the serologic diagnosis of chronic pulmonary aspergillosis (CPA).Data were collected from all consecutive patients with a clinical suspicion of CPA who underwent a serum GM antigen test.In total, 334 patients who were suspected to have CPA were eligible for this study and 168 (50%) patients were finally diagnosed with CPA. The serum GM antigen test was positive in 38 (23%) patients with CPA and in 25 (15%) patients without CPA. The sensitivity of the serum GM antigen test was 23% (95% confidence interval [CI], 17-30%), and its specificity was 85% (95% CI, 79-90%), with positive and negative predictive values of 60% (95% CI, 47-72%) and 52% (95% CI, 46-58%), respectively. The accuracy of the test was 54%. The area under the receiver operating characteristic curve was 0.538 (95% CI, 0.496-0.580).The serum GM antigen test could not be used for the serologic diagnosis of CPA.",2014,24462563,no
Aspergillus nidulans cell wall composition and function change in response to hosting several Aspergillus fumigatus UDP-galactopyranose mutase activity mutants.,"Deletion or repression of Aspergillus nidulans ugmA (AnugmA), involved in galactofuranose biosynthesis, impairs growth and increases sensitivity to Caspofungin, a β-1,3-glucan synthesis antagonist. The A. fumigatus UgmA (AfUgmA) crystal structure has been determined. From that study, AfUgmA mutants with altered enzyme activity were transformed into AnugmA▵ to assess their effect on growth and wall composition in A. nidulans. The complemented (AnugmA::wild type AfugmA) strain had wild type phenotype, indicating these genes had functional homology. Consistent with in vitro studies, AfUgmA residues R182 and R327 were important for its function in vivo, with even conservative amino (RK) substitutions producing AnugmA? phenotype strains. Similarly, the conserved AfUgmA loop III histidine (H63) was important for Galf generation: the H63N strain had a partially rescued phenotype compared to AnugmA▵. Collectively, A. nidulans strains that hosted mutated AfUgmA constructs with low enzyme activity showed increased hyphal surface adhesion as assessed by binding fluorescent latex beads. Consistent with previous qPCR results, immunofluorescence and ELISA indicated that AnugmA▵ and AfugmA-mutated A. nidulans strains had increased α-glucan and decreased β-glucan in their cell walls compared to wild type and AfugmA-complemented strains. Like the AnugmA▵ strain, A. nidulans strains containing mutated AfugmA showed increased sensitivity to antifungal drugs, particularly Caspofungin. Reduced β-glucan content was correlated with increased Caspofungin sensitivity. Aspergillus nidulans wall Galf, α-glucan, and β-glucan content was correlated in A. nidulans hyphal walls, suggesting dynamic coordination between cell wall synthesis and cell wall integrity. ",2014,24454924,no
Development of IgG antibodies to Exophiala dermatitidis is associated with inflammatory responses in patients with cystic fibrosis.,"The clinical importance of airway colonisation by the fungus Exophiala dermatitidis in patients with cystic fibrosis (CF) is unclear. We have previously shown that E. dermatitidis frequently colonises the airways of patients with CF. The aims of the present study were to determine whether patients who are colonised by E. dermatitidis have detectable fungal antigens in the circulation, develop anti-fungal antibodies, and show signs of inflammation and impaired respiratory function.We collected sputum and serum samples consecutively from 98 sputum-producing patients with CF aged more than 12 years. The serum samples were subjected to bacterial and fungal culturing and analyses for fungal antigens and inflammatory factors.E. dermatitidis was recovered from 17 (17%) patients, the same isolation rate as for Aspergillus fumigatus. There were no difference regarding the levels of β-glucan in the sera from E. dermatitidis culture-positive and culture-negative patients with CF. Serological analysis revealed significantly higher levels of IgG antibodies to E. dermatitidis cell wall fragments in the E. dermatitidis culture-positive patients. Patients with higher level of E. dermatitidis IgG antibodies were more often colonised with non-tuberculous Mycobacteria, and less often with Staphylococcus aureus. The increased levels of IgG antibodies directed against E. dermatitidis were positively associated with higher white blood cell counts, increased erythrocyte sedimentation rate, pancreatic insufficiency, intravenous antibiotic treatment, and they were negatively associated with respiratory function (FEV1 % predicted). Overall, 4/17 Exophiala-positive patients were diagnosed as having symptomatic infection with E. dermatitidis and were treated with broad-spectrum azoles.E. dermatitidis triggers antibody production and may cause significant airway infection in patients with cystic fibrosis.",2015,24439251,no
"Success rate and risk factors for failure of empirical antifungal therapy with itraconazole in patients with hematological malignancies: a multicenter, prospective, open-label, observational study in Korea.","We assessed the success rate of empirical antifungal therapy with itraconazole and evaluated risk factors for predicting the failure of empirical antifungal therapy. A multicenter, prospective, observational study was performed in patients with hematological malignancies who had neutropenic fever and received empirical antifungal therapy with itraconazole at 22 centers. A total of 391 patients who had abnormal findings on chest imaging tests (31.0%) or a positive result of enzyme immunoassay for serum galactomannan (17.6%) showed a 56.5% overall success rate. Positive galactomannan tests before the initiation of the empirical antifungal therapy (P=0.026, hazard ratio [HR], 2.28 95% confidence interval [CI], 1.10-4.69) and abnormal findings on the chest imaging tests before initiation of the empirical antifungal therapy (P=0.022, HR, 2.03",2014,24431907,no
